ano;tipo;natureza;titulo;evento;anais;edicao;isbn;pais;cidade;volume;fasciculo;serie;pinicial;pfinal;idioma;url;obs;area;linha;projeto;autor;tipo;;;;;;;;;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;A SEMANTIC APPROACH FOR LEARNING SITUATION DETECTION;IEEE International Conference on Advanced Information Networking and Applications (AINA);IEEE International Conference on Advanced Information Networking and Applications (AINA’14);-;-;BRASIL;Victoria, BC, Canada;1;-;-;1119;1126;Português;-;DOI: 10.1109/AINA.2014.136 -;SISTEMAS DE INFORMACAO;MODELAGEM CONCEITUAL E BANCOS DE DADOS;NÃO INFORMADO;ANA MARILZA PERNAS FLEISCHMANN;Participante Externo;ADENAUER CORREA YAMIN;Participante Externo;JOAO LADISLAU BARBARA LOPES;Discente;JOSE PALAZZO MOREIRA DE OLIVEIRA;Docente;;;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;EVALUATING THE IMPACT OF ENVIRONMENT AND PHYSICAL VARIABILITY ON THE ION CURRENT OF 20NM FINFET DEVICES;International Workshop on Power And Timing Modeling, Optimization and Simulation (PATMOS);PATMOS 2014, 24th International Workshop on Power And Timing Modeling, Optimization and Simulation;-;-;ESTADOS UNIDOS;Palma de Mallorca;1;-;-;1;8;Inglês;-;DOI: 10.1109/PATMOS.2014.6951859;ENGENHARIA DA COMPUTAÇÃO;MICROELETRÔNICA;NÃO INFORMADO;ALEXANDRA LACKMANN ZIMPECK;Discente;CRISTINA MEINHARDT;Discente;RICARDO AUGUSTO DA LUZ REIS;Docente;;;;;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;EVALUATING TRACE AGGREGATION FOR PERFORMANCE VISUALIZATION OF LARGE DISTRIBUTED SYSTEMS;2014 IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS);2014 IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS);-;-;ESTADOS UNIDOS;CA;-;-;-;139;-;Inglês;-;-;NÃO INFORMADA;NÃO INFORMADA;NÃO INFORMADO;LAMARCHE-PERRIN, ROBIN;Sem categoria;LUCAS MELLO SCHNORR;Docente;Vincent, Jean-Marc;Sem categoria;DEMAZEAU, YVES;Sem categoria;;;;
2014;Artigo em Conferencia;RESUMO EXPANDIDO;EVALUATING TRACE AGGREGATION THROUGH ENTROPY MEASURES FOR OPTIMAL PERFORMANCE VISUALIZATION OF LARGE DISTRIBUTED SYSTEMS;IEEE International Symposium on Performance Analysis of Systems and Software (ISPASS);Proceedings of the 2014 IEEE International Symposium on Performance Analysis of Systems and Software;-;-;ESTADOS UNIDOS;Monterey, CA;-;-;-;139;140;Inglês;-;DOI: 10.1109/ISPASS.2014.6844474;SISTEMAS DE COMPUTACAO;PROCESSAMENTO PARALELO E DISTRIBUÍDO;NÃO INFORMADO;Robin Larmarche-Perrin;Sem categoria;LUCAS MELLO SCHNORR;Docente;Jean-Marc Vincent;Sem categoria;Yves Demazeau;Sem categoria;;;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;EVOLVING THE TOPOLOGY OF SUBWAY NETWORKS USING GENETIC ALGORITHMS;IEEE Symposium Series on Computational Intelligence (SSCI);Proc. of the IEEE SSCI 2014;-;-;ESTADOS UNIDOS;Orlando;1;-;-;59;63;Inglês;-;DOI: 10.1109/CIVTS.2014.7009478;INTELIGENCIA ARTIFICIAL;INTELIGÊNCIA ARTIFICIAL;NÃO INFORMADO;ANA LUCIA CETERTICH BAZZAN;Docente;SILVIO RENATO DAHMEN;Participante Externo;;;;;;;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;EXPLORANDO O USO DOS ELEMENTOS DO LOM NA DETERMINAÇÃO DA QUALIDADE DOS OBJETOS DE APRENDIZAGEM A  PARTIR DE CRITÉRIOS DE QUALIDADE DE INFORMAÇÃO;Simpósio Brasileiro de Informática na Educação (SBIE) e Congresso Brasileiro de Informática na Educação (CBIE);Anais do 25º Simpósio Brasileiro de Informática na  Educação (SBIE) e 3º Congresso Brasileiro de Informática na Educação (CBIE);-;-;BRASIL;Dourados, MS;1;-;-;496;505;Português;-;-;SISTEMAS DE INFORMACAO;MODELAGEM CONCEITUAL E BANCOS DE DADOS;PROJETO FUTURE LEARNING SPACE;DANIEL LICHTNOW;Participante Externo;VERLANI TIMM HINZ;Discente;MARCELO SOARES PIMENTA;Docente;JOSE PALAZZO MOREIRA DE OLIVEIRA;Docente;ISABELA GASPARINI;Participante Externo;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;EXPLORING FACTORED FORMS FOR SEQUENTIAL IMPLICATION LOGIC SYNTHESIS;IEEE Conference on Nanotechnology (IEEENANO);14th IEEE International Conference on Nanotechnology;14;-;ESTADOS UNIDOS;Toronto;1;-;-;268;273;Inglês;-;DOI: 10.1109/NANO.2014.6967991;ENGENHARIA DA COMPUTAÇÃO;MICROELETRÔNICA;NÃO INFORMADO;FELIPE DOS SANTOS MARRANGHELLO;Participante Externo;MAYLER GAMA ALVARENGA MARTINS;Participante Externo;VINICIUS CALLEGARO;Discente;ANDRE INACIO REIS;Docente;RENATO PEREZ RIBAS;Docente;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;EXPLORING INDEPENDENT GATES IN FINFET-BASED TRANSISTOR NETWORK GENERATION;Symposium on Integrated Circuits and Systems Design (SBCCI);Proceedings of the 27th Symposium on Integrated Circuits and Systems Design - SBCCI &apos;14;-;ESTADOS UNIDOS;Aracaju;-;-;-;1;6;Inglês;-;DOI: 10.1145/2660540.2661009;ENGENHARIA DA COMPUTAÇÃO;MICROELETRÔNICA;NÃO INFORMADO;VINICIUS NEVES POSSANI;Participante Externo;ANDRE INACIO REIS;Docente;RENATO PEREZ RIBAS;Docente;FELIPE DE SOUZA MARQUES;Participante Externo;LEOMAR SOARES DA ROSA JUNIOR;Participante Externo;;
2014;Artigo em Conferencia;TRABALHO COMPLETO;FAST ENERGY EVALUATION OF EMBEDDED APPLICATIONS FOR MANY-CORE SYSTEMS;International Workshop on Power And Timing Modeling, Optimization and Simulation (PATMOS);PATMOS 2014, 24th International Workshop on Power And Timing Modeling, Optimization and Simulation;24;-;ESTADOS UNIDOS;Palma de Mallorca;1;-;-;1;6;Inglês;-;10.1109/PATMOS.2014.6951893;ENGENHARIA DA COMPUTAÇÃO;ARQUITETURA E PROJETO DE SISTEMAS COMPUTACIONAIS;NÃO INFORMADO;FELIPE SOARES GONCALVES ROSA;Participante Externo;OST, LUCIANO;Sem categoria;T. Raupp;Sem categoria;FERNANDO GEHM MORAES;Participante Externo;RICARDO AUGUSTO DA LUZ REIS;Docente;;
2014;Artigo em Conferencia;RESUMO EXPANDIDO;FAULT INJECTION IN GPGPU CORES TO VALIDATE AND DEBUG ROBUST PARALLEL APPLICATIONS;IEEE International OnLine Testing Symposium (IOLTS);2014 IEEE 20th International On-Line Testing Symposium (IOLTS);20;-;BRASIL;Platja d&apos Aro;1;-;-;210;211;Inglês;-;DOI: 10.1109/IOLTS.2014.6873699;ENGENHARIA DA COMPUTAÇÃO;MICROELETRÔNICA;NÃO INFORMADO;DE CARVALHO, M.;Sem categoria;SABENA, D.;Sem categoria;MATTEO SONZA REORDA;Participante Externo;Sterpone, L.;Sem categoria;PAOLO RECH;Docente;LUIGI CARRO;Docente
